T,TM,Tm,SLP,H,VV,V,VM,PM 2.5

12.2,23.9,5.7,1014.5,88,0.3,0.7,5.4,255.875

11.8,20.1,8.4,1015.3,89,0.3,2.8,9.4,217.08333333333334

11.3,18.2,6.7,1015.6,85,0.6,3.5,9.4,229.16666666666666

13.2,20.8,6.4,1015.2,69,1.4,8.5,14.8,298.4583333333333

12.1,20.7,5,1017.6,72,1.4,3.9,11.1,264.9166666666667

12.2,21.7,4.2,1019.1,75,1.4,5.7,18.3,404.5

13.6,23.7,5.5,1016.1,68,1.4,4.4,18.3,188.5

14,23.7,5.7,1016.2,69,2.3,4.8,14.8,164.75

14.7,25,6.4,1015.6,70,1.4,9.4,24.1,376.9166666666667

15.8,24.2,9.5,1016,79,1,4.6,11.1,0.0

14.2,24.9,8,1014.9,75,0.6,5,13,0.0

13.9,25.2,5,1014.7,70,1.9,0.4,3.5,57.0

12.5,18.9,8.8,1013.4,90,0.6,8.3,16.5,202.91666666666666

12.1,18.4,7,1014.1,89,0.5,4.4,9.4,205.125

13,20.2,8,1014.4,79,0.6,4.3,9.4,214.125

17.2,26.9,9.9,1014.3,69,1.4,13,25.9,315.7916666666667

18.7,27.2,11,1013.9,69,1.4,3,13,322.25

17.7,27.8,10.5,1012.7,69,1.6,3.7,14.8,246.04166666666666

16,26.5,9.3,1015.4,57,1.4,4.4,13,200.91666666666666

15,23.6,8.5,1014.6,55,1.4,7.4,22.2,99.5

13.9,24.1,5.5,1013.8,61,1.6,1.7,9.4,143.91666666666666

14.6,24,6.1,1014.4,59,1.3,2.2,7.6,100.25

16.4,23.4,9,1022.5,75,1.6,5.2,14.8,165.0

16.4,23.5,10.2,1021.6,63,1.8,11.1,25.9,116.45833333333333

17.5,23.4,11.6,1019.6,66,2.4,9.8,25.9,143.0

18.1,26.6,10,1013.9,60,1.6,3.3,18.3,231.125

19,28.2,10.1,1012.9,62,2.1,4.4,14.8,218.66666666666666

21.5,31.2,12.5,1010.5,59,1.8,1.5,5.4,211.0

22.5,31.6,17,1015.4,65,1.9,7.4,16.5,52.208333333333336

21.1,29.4,14.5,1012.8,64,2.6,11.3,25.9,187.5

22.3,29.8,15.4,1012.6,65,1.9,6.3,24.1,130.16666666666666

21.7,30.7,14.9,1010.8,62,1.6,1.7,7.6,123.125

22.9,31,15.5,1009,58,2.3,3.9,14.8,120.91666666666667

24.1,32.3,16.6,1006.9,53,2.1,2,9.4,153.625

21.8,29.4,14.7,1012.3,53,2.6,7.6,22.2,130.33333333333334

22.6,31.6,13.3,1013.2,57,2.3,3.1,14.8,110.70833333333333

23.4,32.2,14.8,1013.1,52,1.8,3.5,11.1,138.5

25.9,35.6,17.1,1008.9,45,2.3,2.8,11.1,75.75

24.8,36.2,17,1007.1,47,2.7,1.9,9.4,146.54166666666666

25,34.1,17.2,1007.8,51,2.6,11.3,27.8,116.625

24.6,34.4,15,1012.9,44,2.3,4.4,14.8,80.04166666666667

26.1,35,16.5,1009.2,45,2.6,2.2,5.4,100.04166666666667

26.1,35,21,1007.8,53,2.6,5.6,14.8,109.45833333333333

25.7,32.3,18.5,1013.6,49,1.9,8.7,22.2,110.16666666666667

26.3,33.6,19.5,1011,44,2.6,9.1,22.2,108.20833333333333

27.1,36.8,17.3,1007.9,38,3.2,4.6,14.8,103.83333333333333

26.9,36.2,20,1007.6,51,2.9,9.1,14.8,74.29166666666667

27.8,34.8,20,1008.6,52,2.7,6.1,11.1,101.79166666666667

27.6,36.2,20.8,1009,53,2.6,4.8,11.1,106.16666666666667

29.4,38.2,21.4,1007.2,49,2.6,2.6,5.4,89.875

27.9,36.6,19,1008.3,57,2.7,5.9,9.4,48.208333333333336

29.4,35.6,23,1008.8,51,2.3,9.1,18.3,47.041666666666664

25.2,36.3,20.2,1010.1,67,2.9,6.7,22.2,67.79166666666667

25.8,34.4,18.2,1008.3,38,2.3,3,14.8,56.666666666666664

28.1,36,18.2,1006.8,36,3.1,4.6,14.8,79.0

30.1,38,20.5,1006,39,2.7,3.1,11.1,123.58333333333333

31.1,39,23,1003,32,2.6,5,22.2,80.29166666666667

32.7,39.4,24,1002.6,26,1.9,12.4,33.5,137.875

29.2,39.5,24,1007.9,31,2.6,9.1,14.8,87.875

31.7,41.4,20.8,1002.3,26,2.6,5.6,18.3,121.20833333333333

33.2,41.6,25.5,1001.5,31,1.9,4.8,13,97.04166666666667

32.4,42,26.4,1004.7,48,3.1,7,9.4,92.08333333333333

31.7,40,26.5,1003.4,52,2.7,10,14.8,130.625

28.8,37.6,20.2,1004.7,59,1.6,13.7,31.3,90.5

29.6,34.2,25,1005.8,52,1.9,10,14.8,55.416666666666664

31.2,38,24,1003.2,40,1.9,11.7,37,108.33333333333333

29.1,39.6,24.6,1004.3,43,1.8,7.4,22.2,198.875

28.3,35.2,22.4,1006.1,57,1.9,3.3,11.1,120.70833333333333

29.9,42.2,24.4,1003.5,56,1.8,12,31.3,60.541666666666664

30.2,35.6,24,1004.6,53,2.6,6.7,9.4,79.0

32.2,37.4,26.4,1002.2,54,2.7,5.2,16.5,133.70833333333334

33.1,41.2,26.4,1001.7,40,1.9,4.4,14.8,53.25

33.2,41.4,27,1002.8,33,2.6,3.1,14.8,65.16666666666667

34.1,41.2,25.5,1002.9,26,2.7,5.9,16.5,83.58333333333333

34.5,43,23.8,1000.1,25,2.7,6.5,22.2,40.666666666666664

34.5,44,24.5,998.9,27,1.9,4.4,18.3,48.125

36.1,45,26.3,998.1,24,2.7,8.7,25.9,103.16666666666667

35.9,42,29.4,999.7,46,2.7,7,14.8,143.375

34.6,42.1,28.4,1000.7,50,2.6,12.8,33.5,44.791666666666664

32.3,42,26.6,1001.6,53,2.7,12,18.3,71.95833333333333

34,39.2,27.7,998.6,56,2.6,9.6,14.8,17.5

35.8,40.8,29.2,997,53,1.9,6.5,11.1,101.0

35.2,41.4,32,994.3,55,1.9,11.3,18.3,76.20833333333333

30.3,40.5,25.6,995.1,75,1.4,11.5,33.5,84.33333333333333

37.8,41.7,34,990.4,41,1.6,19.4,33.5,48.833333333333336

36.8,41.2,33,992.5,41,1.6,16.9,25.9,64.45833333333333

36.7,40.5,33.4,994.7,43,1.9,17.4,27.8,80.54166666666667

34.2,39.4,26.5,998.2,49,2.6,5.9,16.5,65.41666666666667

35.2,40.2,29.8,998.9,55,2.6,1.9,5.4,54.666666666666664

36.2,41.9,30.9,998.2,50,1.9,3.5,11.1,78.54166666666667

36.6,42.2,32.6,993.8,42,2.1,11.3,31.7,49.125

32.4,42.7,30.7,995.5,59,1.9,5.4,11.1,65.875

30.3,37.5,26.2,997.8,76,1.9,10.2,18.3,72.41666666666667

32.6,36.2,29,997.2,68,1.9,11.9,22.2,184.66666666666666

31.2,37.4,24.4,995.6,66,2.9,12,24.1,113.33333333333333

32.1,37.8,23.6,995.7,70,2.3,6.3,13,146.20833333333334

33.7,37.8,28.2,997,59,1.9,3.1,14.8,112.29166666666667

35.2,39.4,28.5,995.6,55,3.1,3.3,7.6,60.625

33.4,40.1,30.8,996.1,71,1.9,9.4,14.8,71.0

29.3,37.8,26.2,996.9,85,1.9,3.7,9.4,153.41666666666666

30.3,34.2,25.4,996.2,82,1.9,3.7,11.1,134.95833333333334

31.8,35.2,27.6,996.2,77,1.9,5.6,11.1,81.125

32.8,37.3,28.8,996.9,73,2.6,5.2,11.1,52.25

29.2,37.8,26,996.8,87,1.9,1.9,5.4,160.375

29.2,33.4,27,997.3,89,1.9,2.8,7.6,99.375

29.5,36.7,28,997.3,84,1.9,3.9,9.4,31.458333333333332

26.9,32.2,25.8,997.6,95,1.9,6.5,11.1,47.375

26.7,28.7,25.2,996.7,95,1.9,3.1,13,38.166666666666664

30,34.5,27.2,997,76,1.9,8.3,14.8,35.958333333333336

31.5,35,26,997,71,2.7,5,14.8,25.083333333333332

32.1,35.6,28.2,998.3,67,2.3,13,22.2,45.833333333333336

31.5,35.8,28.2,998.6,68,2.3,11.7,22.2,33.708333333333336

28.2,31.8,26.4,999.2,89,1.9,2.6,7.6,26.416666666666668

30.4,33.4,26.5,999.9,83,1.9,4.6,9.4,30.666666666666668

32,35.4,27.6,1001.8,73,2.3,4.6,14.8,29.958333333333332

30.4,33.2,27.6,997.1,78,1.9,1.7,7.6,23.875

30.8,34.4,27.4,997.6,80,2.3,4.3,9.4,22.333333333333332

31.1,35.3,28.4,999.9,73,2.6,5.6,14.8,25.083333333333332

30,33.6,25.9,999.8,83,1.9,4.3,9.4,64.875

31.7,36.4,26.2,999.2,73,1.9,4.6,9.4,47.583333333333336

30.3,34.4,27,998.5,73,2.6,11.3,24.1,33.5

31,34.2,27,998,73,3.2,7.8,24.1,43.041666666666664

29.6,34.9,26.5,999.8,83,2.6,2.6,9.4,38.416666666666664

30.9,35.1,28,1000,76,2.3,4.8,11.1,49.291666666666664

27.1,34,23.5,1002.6,93,1.8,4.8,16.5,19.541666666666668

26.7,29.4,25,1002.3,92,1.9,4.6,11.1,22.833333333333332

26.7,29,25.6,1002.4,95,1.6,0.4,3.5,24.291666666666668

28.3,34.6,24.6,1003.2,86,2.1,1.7,9.4,74.66666666666667

28.7,34.1,25.5,1003.5,83,2.6,9.3,22.2,41.875

28.6,33.6,25,1005.2,80,3.1,8.1,11.1,50.583333333333336

30.3,33.6,26.5,1003.3,67,2.6,13,18.3,58.125

29.5,34.4,22.2,1005.7,70,3.4,7,14.8,57.291666666666664

30.6,34.6,25.5,1007.3,60,4,8.1,13,38.25

30,35.4,24,1005.2,66,2.7,2.8,7.6,56.916666666666664

28.3,35.7,23.8,1008,75,2.6,9.1,14.8,54.625

25.8,34,22.2,1008,91,1.9,10.9,18.3,42.875

28,33.2,22.6,1007.8,75,2.7,2.4,7.6,43.333333333333336

29.3,35.4,23.2,1008.3,63,2.6,2,11.1,41.875

28.9,35.5,23.4,1009.1,65,2.3,2.6,11.1,44.416666666666664

28.2,34.8,22.2,1008.4,66,2.7,2.6,9.4,41.958333333333336

28.7,35.2,22.5,1008.8,63,2.6,0.4,3.5,0.0

28.8,35.6,22.5,1008.5,59,2.6,0.4,3.5,0.0

26.4,34.6,20.2,1010,63,2.3,1.9,7.6,45.75

27.5,34.8,20.1,1008.1,63,1.9,2,9.4,70.70833333333333

27.8,35.3,22.4,1007.4,66,1.9,3.7,9.4,51.791666666666664

24.2,31.8,17.3,1011.6,58,2.6,5.4,14.8,11.583333333333334

25.7,32.5,17,1012.1,58,2.6,3,9.4,13.0

27.1,34,17.8,1011,54,2.3,2.8,9.4,156.25

26,33.8,17.4,1013.8,52,2.4,2,7.6,156.0

24.5,32.5,15,1014.8,58,2.4,2,7.6,252.625

24.2,32.4,15.8,1016.8,59,2.1,0.6,5.4,119.41666666666667

24.2,31,15.6,1016.7,62,1.9,2.4,9.4,126.0

24.1,31,16,1015.3,63,1.6,2.2,10.7,232.33333333333334

24.1,31.1,16,1014.3,65,1.6,5,14.4,215.54166666666666

24.6,32,16,1012.1,63,1.6,4.1,7.6,239.41666666666666

25.2,31.6,18.5,1011.7,63,1.9,9.4,14.8,196.54166666666666

20.3,28,12.5,1015.7,44,3.1,8.3,18.3,232.54166666666666

18.6,27.8,10.5,1014.7,58,1.4,1.1,3.5,185.5

21.9,30.2,14.2,1009.6,74,1.3,4.1,9.4,257.6666666666667

22.2,29.4,17.6,1011.4,77,2.3,5.4,14.8,166.875

22.2,28.5,16.2,1015.2,67,2.4,4.8,9.4,135.16666666666666

19.3,27.9,10.4,1016.4,59,2.9,2,9.4,135.58333333333334

19.8,27.2,10.5,1016.3,64,2.1,0.7,5.4,152.04166666666666

20.8,28.2,10.7,1018,65,1.9,0.9,5.4,141.41666666666666

19.6,28,9,1014.6,56,2.4,2.4,11.1,91.75

18.9,28.1,8.6,1016.7,58,1.9,3.5,9.4,99.91666666666667

17.5,25.1,8.8,1015.7,67,1.9,4.8,22.2,119.70833333333333

16.5,24.2,7.6,1016.3,70,1.8,2.8,11.1,110.875

17.4,25,8.2,1014.9,66,1.8,1.1,7.6,200.33333333333334

15.7,21.4,8,1022.8,74,1.9,5.9,14.8,25.083333333333332

15.3,22,8.2,1022.3,78,1.9,5.6,13,57.083333333333336

14.8,22.3,5.2,1018.9,67,2.1,4.6,11.1,349.2916666666667

12.3,22.4,4,1017.9,74,1.3,1.1,3.5,188.04166666666666

11.3,22.3,4.7,1017.7,82,1.1,3,3.5,310.25

12.3,19.4,6.2,1016.8,80,1.3,6.7,25.9,204.375

11.1,20.6,3.6,1015.7,76,1.3,3,9.4,223.25

11.6,21.4,3.4,1017.1,76,1.1,2.4,5.4,248.95833333333334

12,22.9,3.8,1021.2,73,0.8,4.8,25.9

7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,219.72083333333333

7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,182.1875

6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,154.03750000000002

8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,223.20833333333334

12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,200.64583333333337

16,25.2,10,1013.2,79,0.6,4.8,11.1,285.22499999999997

13.4,21,9.2,1015.1,87,0.5,1.5,7.6,236.82499999999996

14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,276.90833333333336

12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,108.0

11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,107.625

12.2,19.9,6.2,1021,69,2.1,4.4,18.3,125.89166666666667

13.4,21.1,5.6,1020,60,1.9,8,22.2,181.01250000000005

12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,152.55416666666667

13.7,22,7,1018.2,63,1.8,7.2,18.3,152.32083333333335

14.9,21.9,7.1,1018.3,73,0.6,2,7.6,319.7375

15,24,7.6,1017.4,81,0.6,2.2,7.6,332.7083333333333

16.3,24,12,1017.2,80,0.8,1.3,9.4,279.59999999999997

18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,179.11666666666667

14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,54.791666666666664

14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,93.375

14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,103.0

17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,132.20833333333334

18.1,26.7,10.2,1013.8,61,2.6,5,11.1,127.70833333333333

18.3,23.2,12.7,1011.2,75,1.9,10,22.2,109.33333333333333

16.4,22,11.2,1015.5,81,1.6,5.9,18.3,56.458333333333336

16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,135.83333333333334

19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,122.5

17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,69.66666666666667

17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,79.83333333333333

20.4,28.4,15.2,1014.7,62,2.4,5,14.8,62.708333333333336

18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,21.208333333333332

19,26.8,11.7,1016.3,58,2.6,16.7,29.4,1.9166666666666667

18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,1.8333333333333333

22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,105.83333333333333

22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,117.58333333333333

24,33.8,13.6,1009.7,53,1.9,4.6,18.3,122.70833333333333

23.8,33,14.9,1010.4,64,1.9,3.9,11.1,111.95833333333333

22.6,33,18.1,1013.1,67,2.1,11.3,22.2,59.208333333333336

23,30,14.4,1016.1,55,2.7,6.7,14.8,77.20833333333333

24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,98.70833333333333

27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,123.70833333333333

26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,64.79166666666667

23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,52.333333333333336

23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,52.041666666666664

23.8,30.9,16.7,1009,52,1.6,6.5,13,128.33333333333334

24.7,31.5,17,1008.6,57,2.1,7.6,14.8,0.0

25.6,33.8,17.9,1008.7,47,2.1,4.4,13,23.208333333333332

25.7,36,17.8,1009,50,1.8,9.3,14.8,15.166666666666666

25.1,36,18.3,1009.5,56,2.7,9.1,18.3,21.25

29.5,37,18.5,1005.2,30,1.9,10.6,22.2,81.83333333333333

29.2,37.5,20,1006.1,38,2.6,5.9,14.8,105.33333333333333

31.1,37.8,21.7,1005.6,34,1.8,8.1,27.8,117.75

29.8,36.6,21.4,1007.8,37,1.9,8.1,18.3,84.5

28.2,36.6,21.9,1007.1,45,1.9,6.5,16.5,46.916666666666664

28.3,36.4,20.1,1004,47,1.9,6.3,14.8,104.625

29.3,37.9,20.3,1002.9,35,2.3,4.4,11.1,110.875

30.5,38.6,20.7,1003.4,36,1.9,7.6,14.8,42.958333333333336

28,38.6,23.8,1007.3,48,2.3,15.6,25.9,0.0

31.1,38.5,23.2,1007.7,45,1.9,3.7,7.6,120.875

29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,79.91666666666667

31.4,37.8,22,1006.9,38,2.3,13.7,22.2,0.0

31.4,39.2,22.8,1002.9,24,1.9,11.5,25.9,94.75

29.9,38.8,21.7,1000.8,29,1.9,12,24.1,142.5

29.7,38.3,21.6,999.3,35,1.9,10.2,22.2,133.375

32.8,40.8,25.3,1002,36,1.8,7.2,24.1,147.83333333333334

34.1,42,23.7,1001.4,29,1.9,9.3,18.3,158.29166666666666

34.1,42,26.8,1000.8,32,1.9,7.8,14.8,149.58333333333334

30.9,37.6,23.2,1003.7,44,1.9,3.5,11.1,101.5

32.9,39.8,24.7,1001,38,1.9,5.6,13,106.5

30.6,37.4,24.8,1000.8,47,1.9,2.2,7.6,128.125

36.2,44.6,25.9,999.2,29,1.9,15,27.8,101.95833333333333

36.2,44.6,29.2,999.1,32,1.9,10.6,18.3,98.41666666666667

36.8,45.1,28,999.1,26,1.9,12,25.9,94.375

37.7,45,30.5,998.1,32,1.9,10,22.2,107.625

36.2,43.6,29.3,998.4,32,2.3,8.1,20.6,110.41666666666667

35.6,42.6,30.2,999.3,41,1.9,8.1,20.6,95.83333333333333

33.6,40.6,24.8,998.8,47,1.9,10.6,18.3,72.25

31.9,40.6,26.7,1002,61,1.9,13.5,20.6,38.666666666666664

32.4,38.5,26.6,1001,63,2.3,13.3,22.2,45.375

34.1,40.3,28.8,999.7,59,1.9,10.9,16.5,65.16666666666667

34.1,43.2,25.7,997.9,57,1.9,7.4,14.8,66.08333333333333

34.2,39.8,29.1,996.7,64,1.9,13.7,18.3,77.66666666666667

35.1,40.2,30.2,995.2,52,1.9,8.5,14.8,70.25

30.3,39.2,28.8,998.6,75,1.9,10.2,22.2,56.291666666666664

30.4,38.6,27.8,997.7,73,1.9,8,22.2,77.0

29.8,38.6,24.6,997.9,71,2.3,12.6,16.5,32.958333333333336

29.7,35.5,24.8,999,76,1.9,4.3,14.8,80.625

33,38.4,25.3,997.6,58,1.8,4.8,13,90.70833333333333

35.6,41,27.3,995.5,49,1.9,7.4,18.3,97.29166666666667

31,39.4,27.8,999.2,74,1.9,11.5,18.3,50.708333333333336

31.2,35.7,27.2,998.4,75,1.9,6.3,14.8,40.375

31.2,37.1,27.6,996.8,71,1.9,8.1,20.6,49.416666666666664

33.9,39.2,27.8,995.2,62,1.9,8.9,14.8,61.875

32.8,37.6,28.4,995.8,67,1.9,9.3,18.3,0.0

31.6,37.6,26.9,997.5,76,1.9,6.5,11.1,29.666666666666668

31.1,35,27.9,1000.1,81,1.9,7.2,11.1,49.125

30.3,35.8,27.2,997.5,78,1.9,7.6,14.8,43.666666666666664

29.2,35.4,24.6,996.4,81,1.8,7.4,14.8,29.833333333333332

31.8,36.7,25.8,998.8,75,1.9,8.3,14.8,35.208333333333336

31.1,37.2,28.2,997.5,76,1.9,3.9,11.1,37.625

31.7,37.2,26.8,998.3,78,1.9,7.8,11.1,41.458333333333336

30.9,35.4,25.8,995,77,1.9,10.4,18.3,38.583333333333336

26.8,35.4,24.2,999,93,1.1,6.3,14.8,36.0

29.1,33.8,23.9,996.3,86,1.4,2.6,55.4,70.58333333333333

28.5,34.4,26.3,995.5,87,1.6,7,14.8,33.166666666666664

30.4,35.1,24.8,995.2,77,1.9,5.2,14.8,38.25

30,35.5,26.2,997.5,83,1.9,3.7,11.1,26.583333333333332

29,33.7,26.9,996.5,82,1.9,9.8,14.8,15.416666666666666

31.1,34.9,25.9,998.2,76,1.9,6.7,11.1,41.375

31.8,36,27.5,999.6,71,1.9,11.7,18.3,25.541666666666668

32.2,36.1,27.4,1000.8,69,1.9,9.3,14.8,28.375

28.4,30.6,25.3,1001.8,88,1.4,3.1,7.6,50.333333333333336

28.1,30.8,25.8,1000.6,88,1.9,8,18.3,35.375

27.4,30.8,25.4,1000.8,90,1.9,3.1,9.4,31.916666666666668

30.1,34.6,27.2,1000,79,1.9,10.2,18.3,35.291666666666664

29.7,34.9,26.1,1000.3,79,1.9,8.3,18.3,26.833333333333332

27.7,30.7,24.8,1001.8,88,1.9,7.2,14.8,21.125

28.4,33.1,26,1000,86,1.9,5,18.3,35.708333333333336

27.4,33.5,24.4,999.1,90,1.1,5.4,18.3,43.583333333333336

29.2,34.4,24.8,999,81,2.1,7.8,29.4,46.041666666666664

30.4,36.5,27.8,999.3,82,1.4,2,7.6,82.875

32.1,36.7,26.8,998.1,74,1.9,6.5,14.8,64.91666666666667

32,35.5,27.6,999.8,65,2.6,16.9,29.4,30.666666666666668

29.1,34.2,25.9,1003.4,76,1.9,5.6,9.4,34.416666666666664

30.2,35.6,25.6,1003.6,68,3.1,14.8,22.2,33.166666666666664

31.7,35.9,27,1003.6,59,2.6,14.4,22.2,30.625

31.6,36.3,25.9,1002.7,58,2.7,15.4,25.9,30.333333333333332

30.9,35.6,25,1004.8,58,2.3,6.9,14.8,0.0

29.6,34.2,25.8,1007.3,67,1.9,6.3,14.8,0.0

29.3,35,24.1,1007.6,70,1.9,4.3,11.1,0.0

30.6,36,25.8,1007.2,74,1.6,2.8,7.6,76.875

31.2,36.4,25.8,1004.4,69,1.9,2,7.6,83.45833333333333

31.6,36.8,25.9,1001.5,63,2.4,3.9,11.1,71.66666666666667

29.9,36.2,23.4,1002.5,66,1.9,1.9,7.6,69.70833333333333

28.7,34.1,25.2,1002.9,76,1.9,9.6,51.9,62.375

26.3,34.1,24,1003.4,87,1.9,6.1,11.1,24.875

28.6,35.6,25.3,1005.4,79,2.6,5.7,13,43.958333333333336

28.6,34.5,24,1006.7,81,1.9,3.9,9.4,41.5

29,34.2,24.3,1005.8,76,1.9,7.4,20.6,38.791666666666664

29.1,34,23.8,1007.8,72,1.9,6.5,13,30.333333333333332

28.9,34.9,25.6,1009.5,68,2.6,7.6,13,26.666666666666668

27.9,33.7,23.2,1008.4,67,2.6,10,14.8,29.0

29.4,34.5,24.3,1009.1,73,1.8,1.3,3.5,61.708333333333336

30.1,34.5,24.8,1010,72,1.8,1.5,7.6,60.541666666666664

30.1,35.6,24.8,1010.5,72,2.1,4.6,11.1,41.583333333333336

27.4,33.1,22.8,1008,85,1.6,0.4,3.5,80.04166666666667

27.5,32.5,23,1007.1,80,1.8,6.1,18.3,82.83333333333333

26.6,32.6,21.1,1008.8,76,1.6,3.3,11.1,95.25

25.6,33.2,19.5,1011.5,67,1.4,3.7,14.8,126.16666666666667

25,32.8,17.6,1010.8,69,1.4,1.1,5.4,136.70833333333334

24.8,32.3,17.3,1009.7,68,1.4,1.5,7.6,160.66666666666666

24.1,30,17.5,1011.2,74,1,1.5,9.4,245.66666666666666

24.3,31.4,18.5,1011.2,72,1.1,0.4,3.5,261.6666666666667

23,31,18,1010.6,71,0.8,2.6,9.4,272.4166666666667

24.1,30.1,16.7,1014,62,1.4,3.3,11.1,149.625

23.8,30.5,18.4,1013.5,71,1.6,1.3,3.5,99.70833333333333

22.4,28.6,16.3,1014.6,67,1,5.4,11.1,217.375

20.9,28.1,13.6,1016,59,0.8,6.3,18.3,309.375

20.1,27.1,14,1015.5,78,0.6,3.9,11.1,321.5416666666667

18.9,27.1,14.5,1015.2,80,0.6,1.3,7.6,278.0

19.1,25.6,12.4,1016.6,79,0.8,0.4,3.5,192.33333333333334

17.8,26.2,11,1014.3,68,1,3,11.1,224.16666666666666

17.6,25.6,11.2,1015.2,68,1.1,3.5,14.8,196.75

17,26.6,10,1016.5,70,1.1,0.9,7.6,221.54166666666666

17.8,26.9,11.4,1015.4,67,1.4,7.2,20.6,166.70833333333334

18.2,28.1,10.4,1012.6,61,1.8,2.6,11.1,130.70833333333334

18,28.5,10.2,1013.2,68,1.1,2,11.1,194.70833333333334

21.1,28.8,13.8,1012.8,57,1.6,9.4,22.2,134.45833333333334

21.3,28.8,15,1011.9,58,1.9,9.6,16.5,110.0

19,28.8,12.5,1014.7,72,1.6,2.8,9.4,160.0

18.1,28,10,1016.1,66,1.4,1.7,7.6,118.91666666666667

17.2,28.4,9.8,1015.8,73,1.1,1.9,11.1,176.375

17.4,28.4,9.2,1016.6,74,1.1,1.5,11.1,185.95833333333334

16,26.1,9.1,1014.4,81,1,1.1,5.4,239.125

16.2,25.3,9.5,1013.4,81,0.8,2.2,14.8,312.2083333333333

16.5,24.5,10.8,1012.2,74,1.6,10.2,22.2,121.33333333333333

15.4,24.9,8.2,1012.8,82,1,0.7,3.5,202.875

15.5,24.9,9.4,1015.1,88,0.6,2.6,7.6,260.1666666666667

16.3,22.4,10.8,1012.8,91,0.6,3.1,11.1,277.7083333333333

15.4,19.7,11.6,1016,93,0.6,4.4,9.4,284.1666666666667

14.6,15.9,12.5,1016.9,95,0.5,0.4,3.5,288.4166666666667

13.6,20.4,7.5,1020.7,67,1.1,10.2,40.7,166.91666666666666

12.3,20.6,6.2,1019.4,71,1.3,4.4,18.3,169.0

11.9,17.1,6.5,1018.6,84,1.1,1.1,5.4,186.04166666666666

14.3,19.2,10.9,1020.5,91,1.6,4.8,11.1